answer_by,ques,views,vote,weblink
REDBONE07,TypeError: Could not build a TypeSpec with type KerasTensor,"Viewed 13,846 times",8,https://stackoverflow.com/questions/65383964/typeerror-could-not-build-a-typespec-with-type-kerastensor
Thanos,tensorflow.python.framework.errors_impl.ResourceExhaustedError: failed to allocate memory [Op:AddV2],"Viewed 7,509 times",8,https://stackoverflow.com/questions/69641708/tensorflow-python-framework-errors-impl-resourceexhaustederror-failed-to-alloca
nbro,Batch-major vs time-major LSTM,"Viewed 4,184 times",8,https://stackoverflow.com/questions/42130491/batch-major-vs-time-major-lstm
pratsbhatt,In tensorflow what is the difference between trainable and stop gradient,"Viewed 2,081 times",8,https://stackoverflow.com/questions/45612698/in-tensorflow-what-is-the-difference-between-trainable-and-stop-gradient
dev.doc,How to choose the window size of CNN in deep learning?,"Viewed 7,839 times",8,https://stackoverflow.com/questions/47029417/how-to-choose-the-window-size-of-cnn-in-deep-learning
Marcin Możejko,How to tie word embedding and softmax weights in keras?,"Viewed 3,252 times",8,https://stackoverflow.com/questions/47095673/how-to-tie-word-embedding-and-softmax-weights-in-keras
chesschi,Tensorflow: How to set the learning rate in log scale and some Tensorflow questions,"Viewed 2,642 times",8,https://stackoverflow.com/questions/47431649/tensorflow-how-to-set-the-learning-rate-in-log-scale-and-some-tensorflow-questi
cod3licious,Connecting Keras models / replacing input but keeping layers,"Viewed 2,612 times",8,https://stackoverflow.com/questions/50183809/connecting-keras-models-replacing-input-but-keeping-layers
Gulzar,What are the numbers in torch.transforms.normalize and how to select them?,"Viewed 7,726 times",8,https://stackoverflow.com/questions/65467621/what-are-the-numbers-in-torch-transforms-normalize-and-how-to-select-them
Shai,How to reshape a blob in Caffe?,"Viewed 11,691 times",8,https://stackoverflow.com/questions/28090797/how-to-reshape-a-blob-in-caffe
Seanny123,Multitask deep learning with Tensorflow,"Viewed 4,633 times",8,https://stackoverflow.com/questions/34591195/multitask-deep-learning-with-tensorflow
Shai,Where is exactly the definition of function-like macros such as CHECK &amp; CHECK_EQ in Caffe?,"Viewed 4,238 times",8,https://stackoverflow.com/questions/38509854/where-is-exactly-the-definition-of-function-like-macros-such-as-check-check-eq
